Dataset,dataset,Tarea,Semilla,Propuesta,Config,Accuracy,F1_macro,Acc_trivial,F1_trivial,Supera trivial,D_g,|SPD|,|EOD|,DI_min,Delta Acc,Delta D_g,Delta DI_min,lambda,modo,eta,w_min,atenuados,modo_sensible
COMPAS,compas,binary,13,Fair-GAD,lambda=0.5,0.5871212121212122,0.5399943250620447,0.5293560606060606,0.3461300309597523,True,0.08204534623197955,0.1413085559427023,0.1339011897587598,0.4733044733044732,-0.012310606060606077,-0.20550803192068468,0.20767441175604434,0.5,directional,,,,por defecto del cargador
COMPAS,compas,binary,13,Fair-GAD,lambda=0.8,0.5852272727272727,0.5366249504093483,0.5293560606060606,0.3461300309597523,True,0.07632002757077597,0.1348044909020519,0.12745322835131634,0.48506359065365273,-0.014204545454545525,-0.21123335058188827,0.21943352910522385,0.8,directional,,,,por defecto del cargador
COMPAS,compas,binary,13,Fair-GAD,lambda=1.2,0.5852272727272727,0.5366249504093483,0.5293560606060606,0.3461300309597523,True,0.07632002757077597,0.1348044909020519,0.12745322835131634,0.48506359065365273,-0.014204545454545525,-0.21123335058188827,0.21943352910522385,1.2,directional,,,,por defecto del cargador
Communities and Crime,communities,multiclass,13,Fair-GAD,lambda=0.1,0.531328320802005,0.5287001287001287,0.3408521303258145,0.16947040498442367,True,0.06663643746131914,0.20282186948853617,0.07404351053801571,0.32748538011695905,-0.020050125313283207,-0.04415726699364292,0.09149717952698855,0.1,directional,,,,por defecto del cargador
Communities and Crime,communities,multiclass,13,Fair-GAD,lambda=0.2,0.5137844611528822,0.5161847881357532,0.3408521303258145,0.16947040498442367,True,0.04668125634137362,0.1869488536155203,0.09319526826262925,0.45918367346938777,-0.03759398496240596,-0.06411244811358843,0.22319547287941727,0.2,directional,,,,por defecto del cargador
Communities and Crime,communities,multiclass,13,Fair-GAD,lambda=0.3,0.5137844611528822,0.516666280106935,0.3408521303258145,0.16947040498442367,True,0.04065508841628245,0.1798941798941799,0.08495217002831067,0.46875,-0.03759398496240596,-0.0701386160386796,0.2327617994100295,0.3,directional,,,,por defecto del cargador
Communities and Crime,communities,multiclass,13,Fair-GAD,lambda=0.5,0.5112781954887218,0.5153781018870534,0.3408521303258145,0.16947040498442367,True,0.034920634920634915,0.16225749559082894,0.06519799970346431,0.47138047138047134,-0.040100250626566414,-0.07587306953432715,0.23539227079050085,0.5,directional,,,,por defecto del cargador
Communities and Crime,communities,multiclass,13,Fair-GAD,lambda=0.8,0.5112781954887218,0.5157460543901552,0.3408521303258145,0.16947040498442367,True,0.03315696649029982,0.15520282186948853,0.05695490146914569,0.47138047138047134,-0.040100250626566414,-0.07763673796466225,0.23539227079050085,0.8,directional,,,,por defecto del cargador
Communities and Crime,communities,multiclass,13,Fair-GAD,lambda=1.2,0.5112781954887218,0.5168613357292603,0.3408521303258145,0.16947040498442367,True,0.025793701415591966,0.13756613756613756,0.06229426539741095,0.5100182149362477,-0.040100250626566414,-0.0850000030393701,0.27403001434627716,1.2,directional,,,,por defecto del cargador
Student Performance,student,multiclass,13,Fair-GAD,lambda=0.1,0.5230769230769231,0.4693312135273202,0.46153846153846156,0.21052631578947367,True,0.05588474025974025,0.024177080780854353,0.1990710678210678,0.8718614718614719,0.0,0.0,0.0,0.1,directional,,,,por defecto del cargador
Student Performance,student,multiclass,13,Fair-GAD,lambda=0.2,0.5153846153846153,0.46054491614957666,0.46153846153846156,0.21052631578947367,True,0.0407332251082251,0.012741975006125958,0.1687680375180375,0.9080188679245284,-0.007692307692307776,-0.015151515151515152,0.03615739606305646,0.2,directional,,,,por defecto del cargador
Student Performance,student,multiclass,13,Fair-GAD,lambda=0.3,0.5153846153846153,0.46054491614957666,0.46153846153846156,0.21052631578947367,True,0.0407332251082251,0.012741975006125958,0.1687680375180375,0.9080188679245284,-0.007692307692307776,-0.015151515151515152,0.03615739606305646,0.3,directional,,,,por defecto del cargador
Student Performance,student,multiclass,13,Fair-GAD,lambda=0.5,0.5153846153846153,0.46054491614957666,0.46153846153846156,0.21052631578947367,True,0.0407332251082251,0.012741975006125958,0.1687680375180375,0.9080188679245284,-0.007692307692307776,-0.015151515151515152,0.03615739606305646,0.5,directional,,,,por defecto del cargador
Student Performance,student,multiclass,13,Fair-GAD,lambda=0.8,0.5153846153846153,0.46054491614957666,0.46153846153846156,0.21052631578947367,True,0.0407332251082251,0.012741975006125958,0.1687680375180375,0.9080188679245284,-0.007692307692307776,-0.015151515151515152,0.03615739606305646,0.8,directional,,,,por defecto del cargador
Student Performance,student,multiclass,13,Fair-GAD,lambda=1.2,0.5230769230769231,0.4693312135273202,0.46153846153846156,0.21052631578947367,True,0.05588474025974025,0.024177080780854353,0.1990710678210678,0.8718614718614719,0.0,0.0,0.0,1.2,directional,,,,por defecto del cargador
Adult,adult,binary,21,Fair-GAD,lambda=0.1,0.7488387524883875,0.6901203501034654,0.7509953550099535,0.42889625769777356,True,0.03349687470696264,0.12469194564790548,0.051935560073095965,0.6484026430540352,-0.0033178500331785266,-0.03701888617913923,0.10440950420126294,0.1,directional,,,,por defecto del cargador
Adult,adult,binary,21,Fair-GAD,lambda=0.2,0.7471798274717982,0.6880735888756151,0.7509953550099535,0.42889625769777356,True,0.027084213087366915,0.11619640398793854,0.049532794184000084,0.6698875294516756,-0.00497677504976779,-0.043431547798734954,0.1258943905989034,0.2,directional,,,,por defecto del cargador
Adult,adult,binary,21,Fair-GAD,lambda=0.3,0.7485069674850697,0.689267362499558,0.7509953550099535,0.42889625769777356,True,0.031095888231707648,0.12121726552155115,0.052407079466803674,0.6558592016528564,-0.0036496350364962904,-0.03941987265439422,0.11186606280008415,0.3,directional,,,,por defecto del cargador
Adult,adult,binary,21,Fair-GAD,lambda=0.5,0.7486728599867286,0.690301458944703,0.7509953550099535,0.42889625769777356,True,0.03457196831323353,0.12638072731256167,0.051467545597299436,0.6453296447457223,-0.0034837425348374085,-0.03594379257286834,0.10133650589295007,0.5,directional,,,,por defecto del cargador
Adult,adult,binary,21,Fair-GAD,lambda=0.8,0.7486728599867286,0.690301458944703,0.7509953550099535,0.42889625769777356,True,0.03457196831323353,0.12638072731256167,0.051467545597299436,0.6453296447457223,-0.0034837425348374085,-0.03594379257286834,0.10133650589295007,0.8,directional,,,,por defecto del cargador
Adult,adult,binary,21,Fair-GAD,lambda=1.2,0.7471798274717982,0.6880735888756151,0.7509953550099535,0.42889625769777356,True,0.027084213087366915,0.11619640398793854,0.049532794184000084,0.6698875294516756,-0.00497677504976779,-0.043431547798734954,0.1258943905989034,1.2,directional,,,,por defecto del cargador
Dutch Census,dutch,binary,21,Fair-GAD,lambda=0.1,0.7174776564051638,0.71723498938366,0.5239159218801721,0.34379581862612,True,0.012327982808586564,0.11928498833427481,0.01677832398821677,0.7646020798170302,-0.003972194637537285,-0.03208517553716771,0.056439295681490975,0.1,directional,,,,por defecto del cargador
Dutch Census,dutch,binary,21,Fair-GAD,lambda=0.2,0.7163190996358821,0.7160202600967858,0.5239159218801721,0.34379581862612,True,0.006944111678491571,0.11031504539279394,0.024106204051311697,0.7789654207146385,-0.005130751406818956,-0.037469046667262695,0.07080263657909924,0.2,directional,,,,por defecto del cargador
Dutch Census,dutch,binary,21,Fair-GAD,lambda=0.3,0.7162363455809335,0.7159328210361668,0.5239159218801721,0.34379581862612,True,0.00664779248057364,0.10981596038198041,0.024608367108597373,0.779745165880519,-0.005213505461767576,-0.037765365865180624,0.07158238174497977,0.3,directional,,,,por defecto del cargador
