Dataset,dataset,Tarea,Semilla,Propuesta,Config,Accuracy,F1_macro,Acc_trivial,F1_trivial,Supera trivial,D_g,|SPD|,|EOD|,DI_min,Delta Acc,Delta D_g,Delta DI_min,lambda,modo,eta,w_min,atenuados,modo_sensible
Student Performance,student,multiclass,13,Fair-MAD,"symmetric, eta=10",0.5153846153846153,0.4637746681810329,0.46153846153846156,0.21052631578947367,True,0.06109307359307359,0.036755697133055605,0.20948773448773447,0.8173701298701299,-0.007692307692307776,0.005208333333333336,-0.05449134199134198,,symmetric,10,0.9455070788789368,6,por defecto del cargador
Student Performance,student,multiclass,13,Fair-MAD,"symmetric, eta=20",0.5153846153846153,0.46385717614165894,0.46153846153846156,0.21052631578947367,True,0.06109307359307359,0.0367556971330556,0.20948773448773447,0.8173701298701299,-0.007692307692307776,0.005208333333333336,-0.05449134199134198,,symmetric,20,0.8966462078035948,6,por defecto del cargador
Student Performance,student,multiclass,13,Fair-MAD,"symmetric, eta=50",0.5384615384615384,0.4884004884004884,0.46153846153846156,0.21052631578947367,True,0.03311688311688312,0.025320591358327215,0.1514520202020202,0.8172169811320754,0.01538461538461533,-0.02276785714285713,-0.05464449072939648,,symmetric,50,0.7762964368743179,6,por defecto del cargador
Student Performance,student,multiclass,13,Fair-MAD,"directional, eta=10",0.5153846153846153,0.4637746681810329,0.46153846153846156,0.21052631578947367,True,0.06109307359307359,0.036755697133055605,0.20948773448773447,0.8173701298701299,-0.007692307692307776,0.005208333333333336,-0.05449134199134198,,directional,10,0.9455070788789368,6,por defecto del cargador
Student Performance,student,multiclass,13,Fair-MAD,"directional, eta=20",0.5153846153846153,0.46385717614165894,0.46153846153846156,0.21052631578947367,True,0.06109307359307359,0.0367556971330556,0.20948773448773447,0.8173701298701299,-0.007692307692307776,0.005208333333333336,-0.05449134199134198,,directional,20,0.8966462078035948,6,por defecto del cargador
Student Performance,student,multiclass,13,Fair-MAD,"directional, eta=50",0.5384615384615384,0.4884004884004884,0.46153846153846156,0.21052631578947367,True,0.03311688311688312,0.025320591358327215,0.1514520202020202,0.8172169811320754,0.01538461538461533,-0.02276785714285713,-0.05464449072939648,,directional,50,0.7762964368743179,6,por defecto del cargador
Student Performance,student,multiclass,13,Fair-MAD,"directional, eta=100",0.5307692307692308,0.4831094831094831,0.46153846153846156,0.21052631578947367,True,0.03311688311688312,0.025320591358327215,0.1395472582972583,0.8172169811320754,0.007692307692307665,-0.02276785714285713,-0.05464449072939648,,directional,100,0.6343827543424316,6,por defecto del cargador
Student Performance,student,multiclass,13,Fair-MAD,"directional, eta=200",0.5230769230769231,0.4730599647266314,0.46153846153846156,0.21052631578947367,True,0.02875180375180375,0.02319692885730622,0.13161075036075037,0.929811320754717,0.0,-0.027132936507936502,0.05794984889324506,,directional,200,0.4645392084492646,6,por defecto del cargador
Adult,adult,binary,21,Fair-MAD,"symmetric, eta=5",0.7453550099535501,0.6911674878798915,0.7509953550099535,0.42889625769777356,True,0.05546898297313881,0.1578440071056696,0.05930452564822192,0.5861711515161288,-0.006801592568015935,-0.015046777912963057,0.04217801266335652,,symmetric,5,0.8754312944433045,8,por defecto del cargador
Adult,adult,binary,21,Fair-MAD,"symmetric, eta=10",0.723457199734572,0.6757112339554743,0.7509953550099535,0.42889625769777356,True,0.032637704243309515,0.13407473509087406,0.07861699122176602,0.672323244721891,-0.02869940278699401,-0.037878056642792354,0.12833010586911875,,symmetric,10,0.7784595908792781,14,por defecto del cargador
